outcome,column,subset,weighting,n,estimate,ci_lo,ci_hi,p,mean,pct_of_mean
F_recent / F_MSY,f_recent_fmsy,all that ran (n=88),none,88,-0.16642706431741583,-0.23466863013777872,-0.09818549849705294,5.824506593863498e-06,0.9006972641492358,-18.47758075235373
F_recent / F_MSY,f_recent_fmsy,converged only (n=80),none,80,-0.1315279034140332,-0.1975450402841229,-0.06551076654394349,0.00016618785252758982,0.8601705517164506,-15.290909826146951
SB_recent / SB_0,sb_recent_sb0,all that ran (n=88),none,88,0.05337560280216877,0.02608137115857164,0.08066983444576589,0.00020384577191486544,0.26921106907567227,19.826674655478403
SB_recent / SB_0,sb_recent_sb0,converged only (n=80),none,80,0.0465884051543647,0.017954667574644992,0.07522214273408441,0.0017862587658743281,0.27967672898375817,16.657948383353073
SB_recent / SB_MSY,sb_recent_sbmsy,all that ran (n=88),none,88,0.24857324056237431,0.10815808947509936,0.38898839164964927,0.000706038012593634,1.5210772392668852,16.34192098503685
SB_recent / SB_MSY,sb_recent_sbmsy,converged only (n=80),none,80,0.20797305180423054,0.05927334799625286,0.35667275561220824,0.006768200637442909,1.5809154035738056,13.155229643160425
SB_recent (kt),sb_recent_kt,all that ran (n=88),none,88,173.7756204583129,69.40577518733733,278.14546572928845,0.0013820122833636615,518.1881619318182,33.53523550412134
SB_recent (kt),sb_recent_kt,converged only (n=80),none,80,149.06357892318897,36.81800946106354,261.3091483853144,0.009950120825845522,536.0635687500001,27.807071327525083
F_recent / F_MSY,f_recent_fmsy,"converged, IPW to designed arm x K marginal",IPW,80,-0.1418109330914146,-0.20821844263583356,-0.07540342354699565,6.098966767652931e-05,0.8764683507159576,-16.179812194653007
SB_recent / SB_0,sb_recent_sb0,"converged, IPW to designed arm x K marginal",IPW,80,0.049961872042683035,0.021859205798874758,0.07806453828649132,0.0006935108577790632,0.27469871042871424,18.187880083131443
SB_recent / SB_MSY,sb_recent_sbmsy,"converged, IPW to designed arm x K marginal",IPW,80,0.22166924239255115,0.07240756162172007,0.3709309231633822,0.004148878213554358,1.563084590285947,14.181525668549998
SB_recent (kt),sb_recent_kt,"converged, IPW to designed arm x K marginal",IPW,80,160.084038359298,50.38688931832657,269.78118740026946,0.004809767405355408,523.8040109029018,30.56181988437904
F_recent / F_MSY,f_recent_fmsy,"converged, optimal covariate-matched pairs",matched,54,-0.1355044721727462,-0.21368906826662676,-0.05731987607886564,0.0010715674211762684,0.8997170431179933,-15.060787523058567
F_recent / F_MSY,f_recent_fmsy,"converged, matched pairs (raw, paired)",matched-raw,27,-0.16205500164263603,-0.23418178806111528,-0.0899282152241568,,0.8997170431179933,-18.01177413301299
SB_recent / SB_0,sb_recent_sb0,"converged, optimal covariate-matched pairs",matched,54,0.04995188774920528,0.018249007605859457,0.0816547678925511,0.002684047568631014,0.26351075041577915,18.956299760214314
SB_recent / SB_0,sb_recent_sb0,"converged, matched pairs (raw, paired)",matched-raw,27,0.05595968590830203,0.029770875603267907,0.08214849621333616,,0.26351075041577915,21.23620604472733
SB_recent / SB_MSY,sb_recent_sbmsy,"converged, optimal covariate-matched pairs",matched,54,0.2048440029893485,0.03231482182018333,0.3773731841585136,0.020983848654627123,1.4821924082763487,13.820338158900903
SB_recent / SB_MSY,sb_recent_sbmsy,"converged, matched pairs (raw, paired)",matched-raw,27,0.2573235328566144,0.10939643565604618,0.40525063005718265,,1.4821924082763487,17.36100734423931
SB_recent (kt),sb_recent_kt,"converged, optimal covariate-matched pairs",matched,54,145.02930687096463,27.065359548537728,262.9932541933915,0.017057699570037145,496.84738657407405,29.189910380929916
SB_recent (kt),sb_recent_kt,"converged, matched pairs (raw, paired)",matched-raw,27,132.19461574074072,11.738954050980539,252.6502774305009,,496.84738657407405,26.60668432861568
F_recent / F_MSY,f_recent_fmsy,converged + imputed lost (completed 50/50),imputed,100,-0.13463272082673255,-0.18650769538731188,-0.08275774626615325,1.4283659768571404e-06,0.8864795768975483,-15.187346029776865
SB_recent / SB_0,sb_recent_sb0,converged + imputed lost (completed 50/50),imputed,100,0.048143460399688524,0.0255748863927654,0.07071203440661164,5.345124392067536e-05,0.27173525380701663,17.717046178292154
SB_recent / SB_MSY,sb_recent_sbmsy,converged + imputed lost (completed 50/50),imputed,100,0.2178529591431303,0.10080324668177539,0.3349026716044852,0.00036998540156353484,1.531075399866912,14.22875445337748
SB_recent (kt),sb_recent_kt,converged + imputed lost (completed 50/50),imputed,100,153.6941782397315,65.48294802245167,241.90540845701136,0.0008173970283769767,528.8167955028462,29.06378533109664
